SAMPLE_ID,Study_ID,Latitude,Longitude,Species,RiverSystem,COMPOUND,UNIT,CONC_FOUND (ng/g ww),Sampling Date,% Lipids,pcb_uggwet,pcb_ugglw_sample,pcb_ugglw_1,effect-mort ww,effect-mort lipid-sample specific,effect-mort lipid - 1%,Composite_Count
13HYLE1-TW01,WDFW_LEGACY 2013,47.29479,-122.42087,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),23,6/12/2013,3.311276345,0.023,0.69459621,2.3,-19.18581482,-16.02771375,-4.535814824,6
16PU-TW_Dfp04r3,WDFW_LEGACY 2016,47.268333,-122.422767,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),17,4/5/2016,2.520739793,0.017,0.67440519,1.7,-22.08707884,-16.31084802,-7.437078838,5
21RW02-TW_W03,WDFW_LEGACY 2021,47.235275,-122.236133,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),10,5/7/2021,1.5,0.01,0.666666667,1,-27.18,-16.42161683,-12.53,8
21WTH01-TW_H03,WDFW_LEGACY 2021,47.241858,-122.431739,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),14,6/4/2021,2.1,0.014,0.666666667,1.4,-23.95057041,-16.42161683,-9.300570412,3
21RP03-TW_W03,WDFW_LEGACY 2021,47.219444,-122.350833,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),12,5/5/2021,1.8,0.012,0.666666667,1.2,-25.43009446,-16.42161683,-10.78009446,6
21RW01-TW_W01,WDFW_LEGACY 2021,47.1568,-121.653061,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),10,5/17/2021,1.6,0.01,0.625,1,-27.18,-17.04105162,-12.53,6
21RW02-TW_W01,WDFW_LEGACY 2021,47.235275,-122.236133,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),10,4/30/2021,1.6,0.01,0.625,1,-27.18,-17.04105162,-12.53,10
21WML01-TW_W02,WDFW_LEGACY 2021,47.26912,-122.423925,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),11,7/7/2021,1.8,0.011,0.611111111,1.1,-26.26522166,-17.25674402,-11.61522166,5
21CBE01-TW_W01,WDFW_LEGACY 2021,47.297983,-122.425983,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),12,5/20/2021,2,0.012,0.6,1.2,-25.43009446,-17.43285737,-10.78009446,4
21WMD01-TW_H01,WDFW_LEGACY 2021,47.26144,-122.43021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),16,4/23/2021,2.7,0.016,0.592592593,1.6,-22.66894838,-17.55208757,-8.018948383,6
21CBE01-TW_H02,WDFW_LEGACY 2021,47.297983,-122.425983,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),21,5/20/2021,3.6,0.021,0.583333333,2.1,-20.05895359,-17.70323885,-5.408953586,5
21WML01-TW_H02,WDFW_LEGACY 2021,47.26912,-122.423925,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),12,7/7/2021,2.1,0.012,0.571428571,1.2,-25.43009446,-17.90114088,-10.78009446,3
21WTH01-TW_H02,WDFW_LEGACY 2021,47.241858,-122.431739,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),15,6/4/2021,2.7,0.015,0.555555556,1.5,-23.28838317,-18.17152236,-8.638383175,3
13HYLE1-TW03,WDFW_LEGACY 2013,47.29479,-122.42087,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),25,6/12/2013,4.614415494,0.025,0.541780428,2.5,-18.38552581,-18.41250481,-3.735525808,6
21WTH01-TW_H01,WDFW_LEGACY 2021,47.241858,-122.431739,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),13,6/4/2021,2.4,0.013,0.541666667,1.3,-24.66185191,-18.41452036,-10.01185191,4
21RP03-TW_W01,WDFW_LEGACY 2021,47.2197944,-122.3516853,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),9.7,5/5/2021,1.9,0.0097,0.510526316,0.97,-27.47234467,-18.98279925,-12.82234467,10
21RP02-TW_W01,WDFW_LEGACY 2021,47.197598,-122.253612,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),8.5,5/1/2021,1.7,0.0085,0.5,0.85,-28.73984174,-19.1827629,-14.08984174,10
21WML01-TW_H01,WDFW_LEGACY 2021,47.26873,-122.42172,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),12,4/14/2021,2.5,0.012,0.48,1.2,-25.43009446,-19.57456865,-10.78009446,5
21RP01-TW_W02,WDFW_LEGACY 2021,47.13020675,-122.0736163,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),7,4/28/2021,1.5,0.007,0.466666667,0.7,-30.60333332,-19.84495014,-15.95333332,4
21RW01-TW_W03,WDFW_LEGACY 2021,47.1568,-121.653061,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),9.5,5/17/2021,2.1,0.0095,0.452380952,0.95,-27.67230832,-20.14335474,-13.02230832,6
21RP03-TW_H03,WDFW_LEGACY 2021,47.219736,-122.3515433,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),11,6/24/2021,2.5,0.011,0.44,1.1,-26.26522166,-20.40969585,-11.61522166,4
21CBC01-TW_H01,WDFW_LEGACY 2021,47.275017,-122.415855,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),13,5/12/2021,3,0.013,0.433333333,1.3,-24.66185191,-20.55623164,-10.01185191,2
21RP03-TW_H02,WDFW_LEGACY 2021,47.219444,-122.350833,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),9.5,6/24/2021,2.2,0.0095,0.431818182,0.95,-27.67230832,-20.58984957,-13.02230832,3
21RP02-TW_W02,WDFW_LEGACY 2021,47.197598,-122.253612,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),12,5/1/2021,2.9,0.012,0.413793103,1.2,-25.43009446,-20.99909022,-10.78009446,8
21CBE01-TW_H01,WDFW_LEGACY 2021,47.297983,-122.425983,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),21,5/20/2021,5.1,0.021,0.411764706,2.1,-20.05895359,-21.04625448,-5.408953586,5
21CBC02-TW_H01,WDFW_LEGACY 2021,47.26226,-122.43579,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),11,6/4/2021,2.7,0.011,0.407407407,1.1,-26.26522166,-21.14836085,-11.61522166,6
21RP03-TW_W02,WDFW_LEGACY 2021,47.219444,-122.350833,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),9.1,5/5/2021,2.3,0.0091,0.395652174,0.91,-28.08518523,-21.42937041,-13.43518523,9
21CBE01-TW_W02,WDFW_LEGACY 2021,47.297983,-122.425983,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),13,5/20/2021,3.4,0.013,0.382352941,1.3,-24.66185191,-21.75753598,-10.01185191,2
21RP02-TW_H03,WDFW_LEGACY 2021,47.197598,-122.253612,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),8.2,6/7/2021,2.8,0.0082,0.292857143,0.82,-29.08471386,-24.31690635,-14.43471386,16
21RP02-TW_H04,WDFW_LEGACY 2021,47.197598,-122.253612,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),7,6/7/2021,2.4,0.007,0.291666667,0.7,-30.60333332,-24.35600176,-15.95333332,15
21RP02-TW_H02,WDFW_LEGACY 2021,47.197598,-122.253612,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),8.7,6/7/2021,3,0.0087,0.29,0.87,-28.51662452,-24.41100425,-13.86662452,16
21WSP01-TW_H01,WDFW_LEGACY 2021,47.264296,-122.430432,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),8.9,5/20/2021,3.1,0.0089,0.287096774,0.89,-28.29848085,-24.50757429,-13.64848085,3
21RP02-TW_H01,WDFW_LEGACY 2021,47.197598,-122.253612,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),6,6/7/2021,2.1,0.006,0.285714286,0.6,-32.08285737,-24.55390378,-17.43285737,13
21RP01-TW_W01,WDFW_LEGACY 2021,47.131221,-122.0736152,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),3.1,4/28/2021,1.1,0.0031,0.281818182,0.31,-38.42090657,-24.68568491,-23.77090657,5
21CBW01-TW_H02,WDFW_LEGACY 2021,47.275833,-122.463056,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),13,5/20/2021,4.7,0.013,0.276595745,1.3,-24.66185191,-24.86521457,-10.01185191,3
21HWR02-TW_H03,WDFW_LEGACY 2021,47.128369,-121.802283,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),15,5/19/2021,5.5,0.015,0.272727273,1.5,-23.28838317,-25.00039861,-8.638383175,5
21HPR01-TW_H01,WDFW_LEGACY 2021,47.116321,-122.082982,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),8.6,5/19/2021,3.2,0.0086,0.26875,0.86,-28.62758423,-25.14139875,-13.97758423,6
21CBC02-TW_H02,WDFW_LEGACY 2021,47.26226,-122.43579,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),8.1,6/4/2021,3.2,0.0081,0.253125,0.81,-29.20248108,-25.7162956,-14.55248108,3
21HPD01-TW_H01,WDFW_LEGACY 2021,47.307228,-122.516558,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),9.3,6/24/2021,3.8,0.0093,0.244736842,0.93,-27.87652684,-26.03974432,-13.22652684,4
21RP02-TW_W03,WDFW_LEGACY 2021,47.197598,-122.253612,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),7.2,5/1/2021,3,0.0072,0.24,0.72,-30.33295183,-26.22733156,-15.68295183,9
21RP03-TW_W04,WDFW_LEGACY 2021,47.219444,-122.350833,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),7.2,5/5/2021,3,0.0072,0.24,0.72,-30.33295183,-26.22733156,-15.68295183,6
21RW02-TW_H04,WDFW_LEGACY 2021,47.235275,-122.236133,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),10,5/28/2021,4.3,0.01,0.23255814,1,-27.18,-26.52965287,-12.53,9
21RP02-TW_W04,WDFW_LEGACY 2021,47.197598,-122.253612,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),6.2,5/9/2021,2.7,0.0062,0.22962963,0.62,-31.76814366,-26.65128285,-17.11814366,2
21HPR01-TW_H03,WDFW_LEGACY 2021,47.116321,-122.082982,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),11,5/19/2021,4.8,0.011,0.229166667,1.1,-26.26522166,-26.670653,-11.61522166,4
21HPR03-TW_H04,WDFW_LEGACY 2021,47.204786,-122.344234,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),11,5/19/2021,4.8,0.011,0.229166667,1.1,-26.26522166,-26.670653,-11.61522166,9
21HPR03-TW_H01,WDFW_LEGACY 2021,47.204786,-122.344234,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),11,5/19/2021,4.9,0.011,0.224489796,1.1,-26.26522166,-26.86855503,-11.61522166,6
21HWR01-TW_H01,WDFW_LEGACY 2021,47.120671,-121.546091,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),10,5/19/2021,4.6,0.01,0.217391304,1,-27.18,-27.17694808,-12.53,5
21RW02-TW_H01,WDFW_LEGACY 2021,47.235275,-122.236133,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),10,4/30/2021,4.6,0.01,0.217391304,1,-27.18,-27.17694808,-12.53,15
21WSP01-TW_H02,WDFW_LEGACY 2021,47.264296,-122.430432,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),7.6,6/4/2021,3.5,0.0076,0.217142857,0.76,-29.81401961,-27.18792339,-15.16401961,4
21RW02-TW_H02,WDFW_LEGACY 2021,47.235275,-122.236133,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),9.5,4/30/2021,4.4,0.0095,0.215909091,0.95,-27.67230832,-27.24261247,-13.02230832,16
21RW02-TW_H03,WDFW_LEGACY 2021,47.235275,-122.236133,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),9.6,4/30/2021,4.6,0.0096,0.208695652,0.96,-27.57180575,-27.56875383,-12.92180575,20
21HPR03-TW_H03,WDFW_LEGACY 2021,47.204786,-122.344234,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),10,5/19/2021,4.9,0.01,0.204081633,1,-27.18,-27.78333337,-12.53,7
21HWR02-TW_H01,WDFW_LEGACY 2021,47.128369,-121.802283,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),9.2,5/19/2021,4.7,0.0092,0.195744681,0.92,-27.98028902,-28.18365168,-13.33028902,5
21HWR03-TW_H01,WDFW_LEGACY 2021,47.171312,-122.001337,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),12,5/13/2021,6.2,0.012,0.193548387,1.2,-25.43009446,-28.2919508,-10.78009446,5
21CBC02-TW_H03,WDFW_LEGACY 2021,47.26226,-122.43579,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),9.8,6/4/2021,5.1,0.0098,0.192156863,0.98,-27.37390373,-28.36120462,-12.72390373,3
21HPR02-TW_H03,WDFW_LEGACY 2021,47.081105,-122.176334,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),10,5/14/2021,5.3,0.01,0.188679245,1,-27.18,-28.53649672,-12.53,5
21HWR03-TW_H03,WDFW_LEGACY 2021,47.171312,-122.001337,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),10,5/13/2021,5.5,0.01,0.181818182,1,-27.18,-28.89201544,-12.53,5
21HPR01-TW_H02,WDFW_LEGACY 2021,47.116321,-122.082982,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),8,5/19/2021,4.4,0.008,0.181818182,0.8,-29.32171129,-28.89201544,-14.67171129,5
21HPR03-TW_H02,WDFW_LEGACY 2021,47.204786,-122.344234,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),8.1,5/19/2021,4.5,0.0081,0.18,0.81,-29.20248108,-28.98847764,-14.55248108,8
21HPR02-TW_H01,WDFW_LEGACY 2021,47.081105,-122.176334,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),9,5/14/2021,5.1,0.009,0.176470588,0.9,-28.19124054,-29.17854143,-13.54124054,5
21CBW01-TW_H03,WDFW_LEGACY 2021,47.275833,-122.463056,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),9.5,5/20/2021,5.5,0.0095,0.172727273,0.95,-27.67230832,-29.38432376,-13.02230832,3
21CBW01-TW_H01,WDFW_LEGACY 2021,47.275833,-122.463056,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),9.2,5/20/2021,5.4,0.0092,0.17037037,0.92,-27.98028902,-29.51619111,-13.33028902,4
21HPD01-TW_H03,WDFW_LEGACY 2021,47.307228,-122.516558,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),8.4,6/24/2021,5.1,0.0084,0.164705882,0.84,-28.85342778,-29.84072867,-14.20342778,3
21HPD01-TW_H02,WDFW_LEGACY 2021,47.307228,-122.516558,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),8.3,6/24/2021,5.6,0.0083,0.148214286,0.83,-28.96837416,-30.85332956,-14.31837416,3
21HWR01-TW_H03,WDFW_LEGACY 2021,47.120671,-121.546091,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),7.9,5/19/2021,5.4,0.0079,0.146296296,0.79,-29.44244128,-30.97834337,-14.79244128,5
21HWR02-TW_H02,WDFW_LEGACY 2021,47.128369,-121.802283,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),7.2,5/19/2021,5,0.0072,0.144,0.72,-30.33295183,-31.13018892,-15.68295183,5
21HWR01-TW_H02,WDFW_LEGACY 2021,47.120671,-121.546091,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),6.5,5/19/2021,5.2,0.0065,0.125,0.65,-31.31461482,-32.48828871,-16.66461482,5
21HPR02-TW_H02,WDFW_LEGACY 2021,47.081105,-122.176334,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),6.5,5/14/2021,5.9,0.0065,0.110169492,0.65,-31.31461482,-33.70044428,-16.66461482,5
21HWR03-TW_H02,WDFW_LEGACY 2021,47.171312,-122.001337,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),5.7,5/13/2021,5.3,0.0057,0.10754717,0.57,-32.57516569,-33.93166241,-17.92516569,5
