SAMPLE_ID,Study_ID,Species,RiverSystem,COMPOUND,UNIT,Max of CONC_FOUND,PERCENT_LIPID_CONTENT,SAMPLE_LOCATION
13HYLR-TW1506,WDFW_LEGACY 2013,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),170,1.219557318,PUYALLUP_Estuary
21WHY03-TW_W02,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),170,1.2,PUYALLUP_Estuary
21WHY03-TW_W01,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),120,1.1,PUYALLUP_Estuary
21CBW02-TW_W3552,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),110,0.72,PUYALLUP_Nearshore
13HYLR-TW1508,WDFW_LEGACY 2013,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),95,1.597418065,PUYALLUP_Estuary
13HYLR-TW1507,WDFW_LEGACY 2013,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),73,0.774953481,PUYALLUP_Estuary
21WHY02-TW_H01,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),73,0.71,PUYALLUP_Estuary
16,Clam and Fish Analysis for Stillaguamish Tribe,adult Chinook,Stillaguamish,PCB-TOTAL,ng/g (w),63.6,#N/A,#N/A
21WHY03-TW_H3528,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),62,1.9,PUYALLUP_Estuary
16PU-TW_Dfp06r2,WDFW_LEGACY 2016,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),58,0.909869924,PUYALLUP_Estuary
21WBL01-TW_W01,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),52,1.2,PUYALLUP_Estuary
21WHY02-TW_H02,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),51,1.1,PUYALLUP_Estuary
21CBE02-TW_W01,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),50,0.71,PUYALLUP_Nearshore
21WBL03-TW_W01,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),49,1.4,PUYALLUP_Estuary
13HYLR-TW01,WDFW_LEGACY 2013,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),46,2.112151551,PUYALLUP_Estuary
15,Clam and Fish Analysis for Stillaguamish Tribe,adult Chinook,Stillaguamish,PCB-TOTAL,ng/g (w),44.8,#N/A,#N/A
21CBE02-TW_W3555,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),41,1.3,PUYALLUP_Nearshore
21RW02-TW_W04,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),41,1.8,PUYALLUP_River
16PU-TW_Dfp01,WDFW_LEGACY 2016,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),39,2.416890341,PUYALLUP_Estuary
21WMD01-TW_W02,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),38,1.3,PUYALLUP_Estuary
16PU-TW_Dfp03r1,WDFW_LEGACY 2016,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),36,1.354667795,PUYALLUP_Estuary
18,Clam and Fish Analysis for Stillaguamish Tribe,adult Chinook,Stillaguamish,PCB-TOTAL,ng/g (w),35.9,#N/A,#N/A
13,Clam and Fish Analysis for Stillaguamish Tribe,adult Chinook,Stillaguamish,PCB-TOTAL,ng/g (w),33.2,#N/A,#N/A
13HYLE1-TW04,WDFW_LEGACY 2013,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),33,1.389916085,PUYALLUP_Nearshore
21WBL03-TW_H01,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),32,2.2,PUYALLUP_Estuary
16PU-TW_Dfp05,WDFW_LEGACY 2016,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),31,1.618299096,PUYALLUP_Estuary
16PU-TW_Dfp06r1,WDFW_LEGACY 2016,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),31,1.547986559,PUYALLUP_Estuary
21WTH02-TW_H03,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),31,3.3,PUYALLUP_Estuary
21WMD01-TW_W03,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),29,1.2,PUYALLUP_Estuary
21WBL02-TW_W01,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),27,1.1,PUYALLUP_Estuary
13HYLE2-TW05,WDFW_LEGACY 2013,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),26,0.938657948,PUYALLUP_Nearshore
21CBC01-TW_W01,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),26,1.8,PUYALLUP_Nearshore
21WMD01-TW_H02,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),26,1.9,PUYALLUP_Estuary
13HYLE1-TW02,WDFW_LEGACY 2013,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),25,3.590595686,PUYALLUP_Nearshore
13HYLE1-TW03,WDFW_LEGACY 2013,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),25,4.614415494,PUYALLUP_Nearshore
21WMD01-TW_H03,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),25,1.9,PUYALLUP_Estuary
21WTH02-TW_H01,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),25,2.4,PUYALLUP_Estuary
16PU-TW_Dfp02,WDFW_LEGACY 2016,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),24,1.285068361,PUYALLUP_Estuary
21RW02-TW_W02,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),24,1.9,PUYALLUP_River
21WBL02-TW_H01,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),24,1.2,PUYALLUP_Estuary
21WHY01-TW_W3601,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),24,2,PUYALLUP_Estuary
13HYLE1-TW01,WDFW_LEGACY 2013,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),23,3.311276345,PUYALLUP_Nearshore
21WBL01-TW_H01,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),23,2.2,PUYALLUP_Estuary
21WMD01-TW_W01,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),23,1.9,PUYALLUP_Estuary
13HYLE1-TW05,WDFW_LEGACY 2013,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),22,1.856793191,PUYALLUP_Nearshore
13HYLE2-TW01,WDFW_LEGACY 2013,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),22,3.031163888,PUYALLUP_Nearshore
16PU-TW_Dfp03r2,WDFW_LEGACY 2016,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),22,2.242380892,PUYALLUP_Estuary
21WHY01-TW_H01,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),22,1.3,PUYALLUP_Estuary
13HYLE2-TW02,WDFW_LEGACY 2013,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),21,1.777332076,PUYALLUP_Nearshore
16ST-TW_Nfp04,WDFW_LEGACY 2016,juvenile Chinook,Stillaguamish,TotalPCBs_NOAA,ng/g (wet),21,1.496862764,STILLAGUAMISH_Nearshore
21CBE01-TW_H01,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),21,5.1,PUYALLUP_Nearshore
21CBE01-TW_H02,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),21,3.6,PUYALLUP_Nearshore
16PU-TW_Dfp04r1,WDFW_LEGACY 2016,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),20,2.450443964,PUYALLUP_Estuary
21CBE02-TW_H03,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),20,2,PUYALLUP_Nearshore
21WML01-TW_W03,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),20,1.1,PUYALLUP_Estuary
13HYLE2-TW04,WDFW_LEGACY 2013,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),19,0.928538219,PUYALLUP_Nearshore
21WML01-TW_W01,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),19,1.1,PUYALLUP_Estuary
21WTH02-TW_H02,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),19,2.5,PUYALLUP_Estuary
16PU-TW_Dfp03r3,WDFW_LEGACY 2016,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),18,1.043042904,PUYALLUP_Estuary
21CBE02-TW_H01,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),18,1.1,PUYALLUP_Nearshore
21WBL02-TW_H02,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),18,1.2,PUYALLUP_Estuary
16PU-TW_Dfp04r3,WDFW_LEGACY 2016,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),17,2.520739793,PUYALLUP_Estuary
17,Clam and Fish Analysis for Stillaguamish Tribe,adult Chinook,Stillaguamish,PCB-TOTAL,ng/g (w),16.3,#N/A,#N/A
13HYLE2-TW03,WDFW_LEGACY 2013,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),16,0.819513933,PUYALLUP_Nearshore
16PU-TW_Dfp04r2,WDFW_LEGACY 2016,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),16,1.948883023,PUYALLUP_Estuary
21WBL02-TW_H03,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),16,1.7,PUYALLUP_Estuary
21WMD01-TW_H01,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),16,2.7,PUYALLUP_Estuary
14,Clam and Fish Analysis for Stillaguamish Tribe,adult Chinook,Stillaguamish,PCB-TOTAL,ng/g (w),15.2,#N/A,#N/A
16ST-TW_Rfp01,WDFW_LEGACY 2016,juvenile Chinook,Stillaguamish,TotalPCBs_NOAA,ng/g (wet),15,1.830443819,STILLAGUAMISH_River
21CBE02-TW_H3681,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),15,1.3,PUYALLUP_Nearshore
21HWR02-TW_H03,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),15,5.5,PUYALLUP_Hatchery
21WTH01-TW_H02,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),15,2.7,PUYALLUP_Estuary
16ST-TW_Hp01,WDFW_LEGACY 2016,juvenile Chinook,Stillaguamish,TotalPCBs_NOAA,ng/g (wet),14,5.979742527,STILLAGUAMISH_Hatchery
21WHY02-TW_W01,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),14,1.9,PUYALLUP_Estuary
21WSP01-TW_W3617,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),14,1.3,PUYALLUP_Estuary
21WTH01-TW_H03,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),14,2.1,PUYALLUP_Estuary
16ST-TW_Nfp03,WDFW_LEGACY 2016,juvenile Chinook,Stillaguamish,TotalPCBs_NOAA,ng/g (wet),13,1.945401038,STILLAGUAMISH_Nearshore
21CBC01-TW_H01,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),13,3,PUYALLUP_Nearshore
21CBE01-TW_W02,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),13,3.4,PUYALLUP_Nearshore
21CBE02-TW_H02,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),13,1.3,PUYALLUP_Nearshore
21CBW01-TW_H02,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),13,4.7,PUYALLUP_Nearshore
21RP01-TW_W03,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),13,1.6,PUYALLUP_River
21RW01-TW_W02,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),13,1.6,PUYALLUP_River
21WTH01-TW_H01,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),13,2.4,PUYALLUP_Estuary
21WTH01-TW_W01,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),13,1.2,PUYALLUP_Estuary
16ST-TW_Dfp03,WDFW_LEGACY 2016,juvenile Chinook,Stillaguamish,TotalPCBs_NOAA,ng/g (wet),12,2.362780831,STILLAGUAMISH_Estuary
16ST-TW_Dfp04r2,WDFW_LEGACY 2016,juvenile Chinook,Stillaguamish,TotalPCBs_NOAA,ng/g (wet),12,2.237493672,STILLAGUAMISH_Estuary
21CBE01-TW_W01,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),12,2,PUYALLUP_Nearshore
21HWR03-TW_H01,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),12,6.2,PUYALLUP_Hatchery
21RP02-TW_W02,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),12,2.9,PUYALLUP_River
21RP03-TW_W03,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),12,1.8,PUYALLUP_River
21WML01-TW_H01,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),12,2.5,PUYALLUP_Estuary
21WML01-TW_H02,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),12,2.1,PUYALLUP_Estuary
21CBC02-TW_H01,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),11,2.7,PUYALLUP_Nearshore
21CBC02-TW_W01,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),11,1.3,PUYALLUP_Nearshore
21HPR01-TW_H03,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),11,4.8,PUYALLUP_Hatchery
21HPR03-TW_H01,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),11,4.9,PUYALLUP_Hatchery
21HPR03-TW_H04,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),11,4.8,PUYALLUP_Hatchery
21RP03-TW_H03,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),11,2.5,PUYALLUP_River
21WML01-TW_W02,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),11,1.8,PUYALLUP_Estuary
16ST-TW_Dfp02,WDFW_LEGACY 2016,juvenile Chinook,Stillaguamish,TotalPCBs_NOAA,ng/g (wet),10,2.66474413,STILLAGUAMISH_Estuary
16ST-TW_Dfp04r1,WDFW_LEGACY 2016,juvenile Chinook,Stillaguamish,TotalPCBs_NOAA,ng/g (wet),10,1.236879004,STILLAGUAMISH_Estuary
21HPR02-TW_H03,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),10,5.3,PUYALLUP_Hatchery
21HPR03-TW_H03,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),10,4.9,PUYALLUP_Hatchery
21HWR01-TW_H01,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),10,4.6,PUYALLUP_Hatchery
21HWR03-TW_H03,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),10,5.5,PUYALLUP_Hatchery
21RW01-TW_W01,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),10,1.6,PUYALLUP_River
21RW02-TW_H01,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),10,4.6,PUYALLUP_River
21RW02-TW_H04,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),10,4.3,PUYALLUP_River
21RW02-TW_W01,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),10,1.6,PUYALLUP_River
21RW02-TW_W03,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),10,1.5,PUYALLUP_River
21CBC02-TW_H03,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),9.8,5.1,PUYALLUP_Nearshore
21CBW03-TW_H01,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),9.7,1.3,PUYALLUP_Nearshore
21RP03-TW_W01,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),9.7,1.9,PUYALLUP_River
16ST-TW_Nfp02,WDFW_LEGACY 2016,juvenile Chinook,Stillaguamish,TotalPCBs_NOAA,ng/g (wet),9.6,1.176797384,STILLAGUAMISH_Nearshore
21RW02-TW_H03,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),9.6,4.6,PUYALLUP_River
21CBW01-TW_H03,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),9.5,5.5,PUYALLUP_Nearshore
21RP03-TW_H02,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),9.5,2.2,PUYALLUP_River
21RW01-TW_W03,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),9.5,2.1,PUYALLUP_River
21RW02-TW_H02,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),9.5,4.4,PUYALLUP_River
21HPD01-TW_H01,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),9.3,3.8,PUYALLUP_Hatchery - Net Pen
21CBW01-TW_H01,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),9.2,5.4,PUYALLUP_Nearshore
21HWR02-TW_H01,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),9.2,4.7,PUYALLUP_Hatchery
21RP03-TW_W02,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),9.1,2.3,PUYALLUP_River
21HPR02-TW_H01,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),9,5.1,PUYALLUP_Hatchery
16ST-TW_Nfp01,WDFW_LEGACY 2016,juvenile Chinook,Stillaguamish,TotalPCBs_NOAA,ng/g (wet),8.9,1.144570868,STILLAGUAMISH_Nearshore
21WSP01-TW_H01,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),8.9,3.1,PUYALLUP_Estuary
16ST-TW_Tp01,WDFW_LEGACY 2016,juvenile Chinook,Stillaguamish,TotalPCBs_NOAA,ng/g (wet),8.8,2.568883502,STILLAGUAMISH_River
21RP02-TW_H02,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),8.7,3,PUYALLUP_River
21HPR01-TW_H01,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),8.6,3.2,PUYALLUP_Hatchery
21RP02-TW_W01,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),8.5,1.7,PUYALLUP_River
21HPD01-TW_H03,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),8.4,5.1,PUYALLUP_Hatchery - Net Pen
21HPD01-TW_H02,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),8.3,5.6,PUYALLUP_Hatchery - Net Pen
21RP02-TW_H03,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),8.2,2.8,PUYALLUP_River
21RP03-TW_H01,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),8.2,0.95,PUYALLUP_River
21CBC02-TW_H02,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),8.1,3.2,PUYALLUP_Nearshore
21HPR03-TW_H02,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),8.1,4.5,PUYALLUP_Hatchery
21HPR01-TW_H02,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),8,4.4,PUYALLUP_Hatchery
21HWR01-TW_H03,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),7.9,5.4,PUYALLUP_Hatchery
21WSP01-TW_H02,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),7.6,3.5,PUYALLUP_Estuary
21HWR02-TW_H02,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),7.2,5,PUYALLUP_Hatchery
21RP02-TW_W03,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),7.2,3,PUYALLUP_River
21RP03-TW_W04,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),7.2,3,PUYALLUP_River
21RP01-TW_W02,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),7,1.5,PUYALLUP_River
21RP02-TW_H04,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),7,2.4,PUYALLUP_River
21HPR02-TW_H02,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),6.5,5.9,PUYALLUP_Hatchery
21HWR01-TW_H02,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),6.5,5.2,PUYALLUP_Hatchery
21RP02-TW_W04,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),6.2,2.7,PUYALLUP_River
21RP02-TW_H01,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),6,2.1,PUYALLUP_River
21HWR03-TW_H02,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),5.7,5.3,PUYALLUP_Hatchery
16ST-TW_Dfp01r1,WDFW_LEGACY 2016,juvenile Chinook,Stillaguamish,TotalPCBs_NOAA,ng/g (wet),5.3,1.055581584,STILLAGUAMISH_Estuary
16ST-TW_Dfp01r2,WDFW_LEGACY 2016,juvenile Chinook,Stillaguamish,TotalPCBs_NOAA,ng/g (wet),5.2,1.16638342,STILLAGUAMISH_Estuary
L34056-8,Coho_Stillaguamish,adult Chinook,Stillaguamish,PCB-TOTAL,ng/g (w),4.39,#N/A,#N/A
21RP01-TW_W01,WDFW_LEGACY 2021,juvenile Chinook,PUYALLUP,TotalPCBs_NOAA,ng/g (wet),3.1,1.1,PUYALLUP_River
